ISO3 Code,MaxYear,ISO2 Code,Country,Continent,Region,LDC Flag,Year,Rule,Median Daily Income €,Median Daily Female Income €,Median Daily Male Income €,Population,% Female Population,Female Population,% Male Population,Male Population,% of Population under Poverty Line,% of Female Population under Poverty Line,% of Male Population under Poverty Line,Female Population under Poverty Line,Male Population under Poverty Line,MaxYear Flag
AUT,N/A,AT,Austria,Europe,EU27,NO,2009,<= 60% Median Daily Income,49.1240146852,53.515655266202,55.658418896931,8343323,0.51326532216005,4282338,0.48673467783995,4060984,18.97,26.14,27.18,1119277.7735842,1103921.604912,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2010,<= 60% Median Daily Income,50.0184871277,54.947726720156,57.48056951558,8363404,0.51312562091076,4291476,0.48687437908924,4071927,18.74,26.06,27.27,1118539.8868248,1110238.0408848,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2011,<= 60% Median Daily Income,48.6785578643,55.971016583708,58.469126302824,8391643,0.51298016373172,4304746,0.48701983626828,4086896,19.05,27.40,28.63,1179669.8334196,1169957.1024342,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2012,<= 60% Median Daily Income,47.9544789906,56.596211957262,60.165703491743,8429991,0.51259692861223,4321187,0.48740307138777,4108803,18.63,27.78,29.53,1200373.7562952,1213361.9867673,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2013,<= 60% Median Daily Income,49.4667761406,57.787823652156,60.782883539995,8479823,0.51210479113473,4342557,0.48789520886527,4137265,18.53,27.74,29.18,1204802.2314301,1207337.0692531,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2014,<= 60% Median Daily Income,49.5596199098,60.68135608617,63.430612664748,8546356,0.51158397731208,4372178,0.48841602268792,4174177,18.97,29.42,34.89,1286246.0734815,1456300.5208141,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2015,<= 60% Median Daily Income,50.0356276875,60.758837564089,63.737866801324,8642699,0.51072414602059,4414035,0.48927585397941,4228663,19.21,29.31,35.17,1293875.486521,1487108.1468115,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2016,<= 60% Median Daily Income,51.8642151755,61.990525885493,64.419169451992,8736668,0.50892853961584,4446339,0.49107146038416,4290328,18.89,28.62,29.74,1272354.6416078,1275809.7108132,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2017,<= 60% Median Daily Income,51.8955306506,65.279481034404,67.395526914126,8797566,0.5084341318372,4472982,0.4915658681628,4324583,18.90,34.43,35.55,1540187.8345647,1537358.5053303,0
AUT,N/A,AT,Austria,Europe,EU27,NO,2018,<= 60% Median Daily Income,51.3337736821,65.926050608764,69.257754159286,8840521,0.50823093429387,4493026,0.49176906570613,4347494,19.01,35.34,37.13,1587818.0619807,1614032.0056873,0
AUT,2019,AT,Austria,Europe,EU27,NO,2019,<= 60% Median Daily Income,52.4550120549,67.438275315737,69.880277757739,8879920,0.50816755138267,4512487,0.49183244861733,4367432,18.72,35.29,36.57,1592435.0636561,1597055.7888437,1
BGD,N/A,BD,Bangladesh,Asia,Rest of the World,YES,2000,<= 1.9565€ Median Daily Income,,,,129193327,,,,,33.30,0.00,0.00,,,0
BGD,N/A,BD,Bangladesh,Asia,Rest of the World,YES,2005,<= 1.9565€ Median Daily Income,,,,140912590,,,,,24.00,0.00,0.00,,,0
BGD,N/A,BD,Bangladesh,Asia,Rest of the World,YES,2010,<= 1.9565€ Median Daily Income,,,,148391139,,,,,18.20,0.00,0.00,,,0
BGD,N/A,BD,Bangladesh,Asia,Rest of the World,YES,2016,<= 1.9565€ Median Daily Income,,,,159784568,,,,,13.50,0.00,0.00,,,0
BGD,2022,BD,Bangladesh,Asia,Rest of the World,YES,2022,<= 3.3215€ Median Daily Income,,,,171186372,,,,,11.40,0.00,0.00,,,1
BEL,N/A,BE,Belgium,Europe,EU27,NO,2000,<= 60% Median Daily Income,40.3272459135,38.414782397277,40.645714606327,10251250,0.51108775832997,5239288,0.48891224167003,5011961,17.32,16.50,17.46,864514.19309159,875031.97805366,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2003,<= 60% Median Daily Income,39.7721417275,40.060595859283,42.881990365579,10376133,0.51072215842572,5299321,0.48927784157428,5076811,18.07,18.20,19.49,964672.89815865,989255.27854166,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2004,<= 60% Median Daily Income,41.0624721143,41.01976312042,43.004892020209,10421137,0.51068006961242,5321866,0.48931993038758,5099270,18.02,18.00,18.87,957971.21725453,962323.84442878,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2005,<= 60% Median Daily Income,41.6988396825,42.964815393699,45.706056646976,10478617,0.5106837623202,5351259,0.4893162376798,5127357,17.71,18.25,19.41,976443.61653712,995280.64762443,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2006,<= 60% Median Daily Income,41.777993894,44.597269980202,47.212937803747,10547958,0.5106427489744,5386238,0.4893572510256,5161719,17.89,19.09,25.73,1028449.4516781,1327944.3362497,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2007,<= 60% Median Daily Income,42.1953655578,45.820942976304,48.198822815891,10625700,0.51047367791534,5424140,0.48952632208466,5201559,17.86,19.40,26.16,1052147.7133423,1360515.6456785,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2008,<= 60% Median Daily Income,43.0145492686,47.001867570795,49.264861081054,10709973,0.51023018382344,5464551,0.48976981617656,5245421,17.70,19.34,25.85,1056772.2923421,1355836.6700031,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2009,<= 60% Median Daily Income,43.6429993818,50.365632422525,52.668702559293,10796493,0.51003331138613,5506571,0.48996668861387,5289921,17.71,25.98,27.17,1430478.3174353,1437035.6785538,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2010,<= 60% Median Daily Income,43.8679510269,50.664871233799,53.46489153929,10895586,0.50993841735698,5556077,0.49006158264302,5339508,17.99,26.55,28.01,1474990.9508366,1495836.3698936,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2011,<= 60% Median Daily Income,43.2568372327,51.779001450774,54.685892760291,11038264,0.5089632074067,5618070,0.4910367925933,5420193,18.17,27.57,29.12,1548863.3796015,1578201.1377946,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2012,<= 60% Median Daily Income,44.5179762846,52.601908181777,55.393913161966,11106932,0.5088170349125,5651396,0.4911829650875,5455535,17.87,26.82,28.24,1515502.3911962,1540631.5216827,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2013,<= 60% Median Daily Income,44.5460744456,55.781320551561,59.072947475573,11159407,0.50863092336183,5676019,0.49136907663818,5483387,18.16,28.81,35.57,1635177.7566705,1950443.0663209,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2014,<= 60% Median Daily Income,44.6483383073,56.612242607866,59.174474929398,11209057,0.50864228447952,5701400,0.49135771552048,5507656,18.17,29.28,35.79,1669135.3070691,1971444.6127135,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2015,<= 60% Median Daily Income,45.9443721009,56.13933841505,59.740891250738,11274196,0.50841565312014,5731977,0.49158434687986,5542218,18.56,28.15,29.95,1613451.2008872,1660119.7150005,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2016,<= 60% Median Daily Income,45.4698710011,57.576753419204,61.795486303145,11331422,0.50762917579228,5752160,0.49237082420772,5579261,18.42,28.94,36.46,1664809.3505901,2034209.8780569,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2017,<= 60% Median Daily Income,45.5968776081,58.714929612085,62.431368777102,11375158,0.50762804637567,5774349,0.49237195362433,5600808,17.95,29.40,36.27,1697796.3309587,2031269.4565391,0
BEL,N/A,BE,Belgium,Europe,EU27,NO,2018,<= 60% Median Daily Income,46.6343841509,61.811516953749,64.710392937964,11427054,0.50746377468299,5798815,0.49253622531701,5628238,17.75,29.78,36.90,1727136.2798824,2076847.4774413,0
BEL,2019,BE,Belgium,Europe,EU27,NO,2019,<= 60% Median Daily Income,47.8919038598,64.157335492128,66.845141243391,11488980,0.50723961088101,5827665,0.49276038911899,5661314,17.64,29.97,37.00,1746298.9617482,2094565.9202003,1
BEN,N/A,BJ,Benin,Africa,Rest of the World,YES,2003,<= 1.9565€ Median Daily Income,,,,7659208,,,,,53.10,0.00,0.00,,,0
BEN,N/A,BJ,Benin,Africa,Rest of the World,YES,2011,<= 1.9565€ Median Daily Income,,,,9726380,,,,,54.30,0.00,0.00,,,0
BEN,N/A,BJ,Benin,Africa,Rest of the World,YES,2015,<= 1.9565€ Median Daily Income,,,,10932783,,,,,50.70,0.00,0.00,,,0
BEN,2018,BJ,Benin,Africa,Rest of the World,YES,2018,<= 3.3215€ Median Daily Income,,,,11940683,,,,,18.20,0.00,0.00,,,1
BTN,N/A,BT,Bhutan,Asia,Rest of the World,YES,2003,<= 1.9565€ Median Daily Income,,,,634627,,,,,13.40,0.00,0.00,,,0
BTN,N/A,BT,Bhutan,Asia,Rest of the World,YES,2007,<= 1.9565€ Median Daily Income,,,,681614,,,,,5.90,0.00,0.00,,,0
BTN,N/A,BT,Bhutan,Asia,Rest of the World,YES,2012,<= 1.9565€ Median Daily Income,,,,721145,,,,,1.70,0.00,0.00,,,0
BTN,N/A,BT,Bhutan,Asia,Rest of the World,YES,2017,<= 3.3215€ Median Daily Income,,,,756121,,,,,1.90,0.00,0.00,,,0
BTN,2022,BT,Bhutan,Asia,Rest of the World,YES,2022,<= 3.3215€ Median Daily Income,,,,782455,,,,,0.10,0.00,0.00,,,1
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2000,<= 50% Median Daily Income,5.29490255021,,,8418270,,,,,29.59,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2001,<= 50% Median Daily Income,5.97190480432,,,8580244,,,,,26.82,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2002,<= 50% Median Daily Income,5.67601266596,,,8742822,,,,,27.28,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2004,<= 50% Median Daily Income,6.78621817965,,,9069044,,,,,23.70,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2005,<= 50% Median Daily Income,6.78623891855,,,9232301,,,,,26.14,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2006,<= 50% Median Daily Income,7.53222908074,,,9395449,,,,,25.92,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2007,<= 50% Median Daily Income,7.92291476431,,,9558438,,,,,26.02,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2008,<= 50% Median Daily Income,9.1660610314,,,9721457,,,,,24.41,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2009,<= 50% Median Daily Income,10.3603011057,,,9884790,,,,,24.19,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2011,<= 50% Median Daily Income,11.7066428388,,,10212951,,,,,23.19,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2012,<= 50% Median Daily Income,12.1045615691,,,10377677,,,,,24.04,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2013,<= 50% Median Daily Income,13.0009241726,,,10542375,,,,,23.92,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2014,<= 50% Median Daily Income,12.9019602985,,,10706517,,,,,23.63,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2015,<= 50% Median Daily Income,12.7235327765,,,10869732,,,,,23.54,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2016,<= 50% Median Daily Income,12.5665567391,,,11031822,,,,,23.57,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2017,<= 50% Median Daily Income,12.7995268401,,,11192853,,,,,23.55,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2018,<= 50% Median Daily Income,12.8556514086,,,11353140,,,,,22.64,0.00,0.00,,,0
BOL,N/A,BO,Bolivia,Americas,Rest of the World,NO,2019,<= 50% Median Daily Income,13.3705332761,,,11513102,,,,,18.50,0.00,0.00,,,0
BOL,2020,BO,Bolivia,Americas,Rest of the World,NO,2020,<= 50% Median Daily Income,12.7570784796,,,11673029,,,,,18.67,0.00,0.00,,,1
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2001,<= 50% Median Daily Income,6.56265359568,,,177196051,,,,,26.07,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2002,<= 50% Median Daily Income,6.64771699592,,,179537523,,,,,25.72,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2003,<= 50% Median Daily Income,6.46598884932,,,181809244,,,,,25.74,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2004,<= 50% Median Daily Income,6.66599585743,,,184006479,,,,,25.32,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2005,<= 50% Median Daily Income,7.05139059443,,,186127108,,,,,25.32,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2006,<= 50% Median Daily Income,7.68149092438,,,188167353,,,,,24.88,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2007,<= 50% Median Daily Income,8.23038272602,,,190130445,,,,,25.22,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2008,<= 50% Median Daily Income,8.80213689264,,,192030362,,,,,24.51,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2009,<= 50% Median Daily Income,9.1945126182,,,193886505,,,,,24.60,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2011,<= 50% Median Daily Income,10.1245770444,,,197514541,,,,,24.29,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2012,<= 50% Median Daily Income,10.7186320696,,,199287292,,,,,24.54,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2013,<= 50% Median Daily Income,11.2738946866,,,201035904,,,,,24.01,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2014,<= 50% Median Daily Income,11.6628371314,,,202763744,,,,,23.94,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2015,<= 50% Median Daily Income,11.3701912051,,,204471759,,,,,23.88,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2016,<= 50% Median Daily Income,11.042652348,,,206163056,,,,,24.33,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2017,<= 50% Median Daily Income,11.1010359096,,,207833825,,,,,24.50,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2018,<= 50% Median Daily Income,11.3642217507,,,209469320,,,,,24.58,0.00,0.00,,,0
BRA,N/A,BR,Brazil,Americas,Rest of the World,NO,2019,<= 50% Median Daily Income,11.7277959617,,,211049519,,,,,24.82,0.00,0.00,,,0
BRA,2020,BR,Brazil,Americas,Rest of the World,NO,2020,<= 50% Median Daily Income,12.2745220052,,,212559409,,,,,19.02,0.00,0.00,,,1
BGR,N/A,BG,Bulgaria,Europe,EU27,NO,2006,<= 60% Median Daily Income,8.64691161425,3.6362859119971,3.76987466703,7601022,0.51311661210341,3900210,0.48688338789659,3700811,24.02,7.27,7.53,283362.21132528,278753.11960771,0
BGR,N/A,BG,Bulgaria,Europe,EU27,NO,2007,<= 60% Median Daily Income,11.7053637883,3.8446843698485,4.0397239521966,7545338,0.51317335371539,3872066,0.48682664628461,3673271,19.54,4.53,4.76,175277.13849162,174713.51069399,0
BGR,N/A,BG,Bulgaria,Europe,EU27,NO,2008,<= 60% Median Daily Income,13.3370769714,5.6935527395046,5.9259971732619,7492561,0.51311970919933,3844580,0.48688029080067,3647980,19.61,5.80,6.04,223068.28463996,220302.52052363,0
BGR,N/A,BG,Bulgaria,Europe,EU27,NO,2009,<= 60% Median Daily Income,14.0677317053,7.3794428280205,7.7481477919115,7444443,0.5130846314355,3819629,0.4869153685645,3624813,19.99,7.64,8.02,291752.89902616,290705.95520253,0
BGR,N/A,BG,Bulgaria,Europe,EU27,NO,2010,<= 60% Median Daily Income,13.2623999781,7.8149421694279,8.26914393654,7395599,0.51305956021788,3794382,0.48694043978212,3601216,24.84,9.18,9.72,348508.85465967,349990.87325111,0
BGR,N/A,BG,Bulgaria,Europe,EU27,NO,2011,<= 60% Median Daily Income,12.541692527,7.5183751332548,7.9538744746622,7348328,0.51299822197942,3769679,0.48700177802058,3578648,19.88,9.11,9.64,343509.94894093,344991.72165079,0
BGR,N/A,BG,Bulgaria,Europe,EU27,NO,2012,<= 60% Median Daily Income,12.7860488756,7.4168476794297,7.8523470208372,7305888,0.51321714744902,3749506,0.48678285255098,3556381,24.41,8.76,9.28,328601.14468992,329976.81378131,0
BGR,N/A,BG,Bulgaria,Europe,EU27,NO,2013,<= 60% Median Daily Income,14.272544104,7.6412767878851,7.9699051252662,7265115,0.51334371695061,3729501,0.48665628304939,3535613,24.59,9.21,9.61,343509.84697785,339656.8716836,0
BGR,N/A,BG,Bulgaria,Europe,EU27,NO,2014,<= 60% Median Daily Income,14.8125898375,8.7099868281488,9.0092256394226,7223938,0.51351060777344,3709568,0.48648939222656,3514369,24.50,8.78,9.08,325741.38943565,319202.97712664,0
BGR,N/A,BG,Bulgaria,Europe,EU27,NO,2015,<= 60% Median Daily Income,14.074501441,8.6458642257329,9.1962498964687,7177991,0.51375746681777,3687746,0.48624253318223,3490244,24.77,12.85,13.67,474007.97177779,477180.60914529,0
BGR,N/A,BG,Bulgaria,Europe,EU27,NO,2016,<= 60% Median Daily Income,16.1049873257,8.1302116313057,8.6805973020415,7127822,0.51393877701647,3663264,0.48606122298353,3464557,25.12,8.20,8.75,300263.24812323,303200.16278828,0
BGR,N/A,BG,Bulgaria,Europe,EU27,NO,2017,<= 60% Median Daily Income,15.8794392211,9.2977773502938,9.8962549728414,7075947,0.51421479925186,3638556,0.48578520074814,3437390,24.85,8.77,9.33,319110.34820144,320872.40372679,0
BGR,N/A,BG,Bulgaria,Europe,EU27,NO,2018,<= 60% Median Daily Income,17.8495594186,9.2817466996898,9.9096138483447,7025037,0.5145542560504,3614762,0.4854457439496,3410274,19.98,7.64,8.16,276176.52602102,278178.36323044,0
BGR,2019,BG,Bulgaria,Europe,EU27,NO,2019,<= 60% Median Daily Income,18.9846851103,10.844735133575,11.654282989075,6975761,0.5149025598286,3591837,0.4850974401714,3383923,24.87,8.46,9.09,303940.60140172,307722.44948493,1
BFA,N/A,BF,Burkina Faso,Africa,Rest of the World,YES,2003,<= 1.9565€ Median Daily Income,,,,13030591,,,,,54.70,0.00,0.00,,,0
BFA,N/A,BF,Burkina Faso,Africa,Rest of the World,YES,2009,<= 1.9565€ Median Daily Income,,,,15650022,,,,,52.60,0.00,0.00,,,0
BFA,N/A,BF,Burkina Faso,Africa,Rest of the World,YES,2014,<= 1.9565€ Median Daily Income,,,,18169842,,,,,39.60,0.00,0.00,,,0
BFA,2018,BF,Burkina Faso,Africa,Rest of the World,YES,2018,<= 3.3215€ Median Daily Income,,,,20392723,,,,,25.20,0.00,0.00,,,1
BDI,N/A,BI,Burundi,Africa,Rest of the World,YES,2006,<= 1.9565€ Median Daily Income,,,,7658190,,,,,71.80,0.00,0.00,,,0
BDI,2013,BI,Burundi,Africa,Rest of the World,YES,2013,<= 1.9565€ Median Daily Income,,,,10149577,,,,,65.10,0.00,0.00,,,1
CAN,N/A,CA,Canada,Americas,Rest of the World,NO,2000,<= 50% Median Daily Income,38.8126547536,,,30685730,,,,,16.48,0.00,0.00,,,0
CAN,N/A,CA,Canada,Americas,Rest of the World,NO,2004,<= 50% Median Daily Income,41.4950949868,,,31940655,,,,,16.72,0.00,0.00,,,0
CAN,N/A,CA,Canada,Americas,Rest of the World,NO,2007,<= 50% Median Daily Income,44.9478288077,,,32889025,,,,,16.27,0.00,0.00,,,0
